lead_id,created_date,lead_source,industry,company_size,region,lead_status
LD-0378,2024-11-25,Paid Ads,E-Commerce,1-10,APAC,Qualified
LD-0379,2025-06-27,Paid Ads,SaaS,201-1000,North America,Contacted
LD-0380,2024-11-07,Outbound SDR,E-Commerce,1-10,EMEA,Contacted
LD-0381,2024-08-22,Referral,Manufacturing,51-200,EMEA,Contacted
LD-0382,2026-04-23,Partner,SaaS,11-50,APAC,Contacted
LD-0383,2025-10-09,Outbound SDR,SaaS,11-50,EMEA,New
LD-0384,2024-08-26,Referral,SaaS,11-50,APAC,Contacted
LD-0385,2025-08-25,Paid Ads,SaaS,201-1000,North America,New
LD-0386,2025-01-09,Partner,Manufacturing,201-1000,APAC,Contacted
LD-0387,2024-10-10,Outbound SDR,Professional Services,11-50,North America,Disqualified
LD-0388,2025-05-10,Partner,SaaS,1-10,North America,Qualified
LD-0389,2025-12-27,Organic Search,Manufacturing,51-200,LATAM,Contacted
LD-0390,2024-06-01,Event,SaaS,51-200,North America,Contacted
LD-0391,2025-02-14,Outbound SDR,E-Commerce,1-10,North America,Qualified
LD-0392,2026-04-03,Organic Search,Manufacturing,51-200,EMEA,Contacted
LD-0393,2025-03-15,Referral,FinTech,11-50,North America,Contacted
LD-0394,2024-08-12,Outbound SDR,SaaS,51-200,North America,Qualified
LD-0395,2025-04-09,Organic Search,E-Commerce,11-50,EMEA,New
LD-0396,2025-10-11,Paid Ads,Professional Services,11-50,APAC,Contacted
LD-0397,2026-05-28,Event,SaaS,1-10,APAC,Contacted
LD-0398,2025-09-02,Paid Ads,SaaS,51-200,North America,Qualified
LD-0399,2024-07-07,Paid Ads,SaaS,1-10,EMEA,Disqualified
LD-0400,2026-01-11,Paid Ads,HealthTech,51-200,APAC,Qualified
LD-0401,2025-12-21,Paid Ads,E-Commerce,201-1000,North America,Contacted
LD-0402,2025-09-18,Event,Manufacturing,51-200,North America,New
LD-0403,2026-03-16,Outbound SDR,Manufacturing,1-10,North America,Qualified
LD-0404,2025-12-13,Organic Search,Professional Services,11-50,EMEA,Qualified
LD-0405,2024-11-17,Partner,Manufacturing,11-50,North America,Disqualified
LD-0406,2025-04-04,Event,SaaS,51-200,EMEA,Qualified
LD-0407,2025-06-05,Paid Ads,HealthTech,201-1000,LATAM,New
LD-0408,2025-05-23,Event,FinTech,11-50,North America,Qualified
LD-0409,2025-09-09,Organic Search,FinTech,201-1000,EMEA,Disqualified
LD-0410,2025-10-25,Partner,Professional Services,1-10,North America,Qualified
LD-0411,2024-08-15,Outbound SDR,E-Commerce,11-50,North America,Qualified
LD-0412,2025-07-20,Outbound SDR,Professional Services,1-10,APAC,Contacted
LD-0413,2024-06-29,Organic Search,FinTech,51-200,North America,Qualified
LD-0414,2025-06-08,Event,HealthTech,1-10,LATAM,Contacted
LD-0415,2025-04-04,Organic Search,HealthTech,11-50,EMEA,New
LD-0416,2024-10-28,Paid Ads,SaaS,51-200,North America,Qualified
LD-0417,2026-05-24,Organic Search,SaaS,51-200,North America,Disqualified
LD-0418,2024-12-06,Outbound SDR,HealthTech,1-10,North America,Disqualified
LD-0419,2024-07-12,Organic Search,SaaS,1-10,APAC,Contacted
LD-0420,2025-02-17,Event,Professional Services,11-50,EMEA,New
LD-0421,2025-12-05,Outbound SDR,SaaS,11-50,North America,Contacted
LD-0422,2024-06-07,Organic Search,SaaS,1-10,EMEA,Disqualified
LD-0423,2025-05-26,Organic Search,Manufacturing,51-200,EMEA,Qualified
LD-0424,2025-04-01,Organic Search,SaaS,11-50,APAC,Disqualified
LD-0425,2026-02-22,Outbound SDR,Professional Services,51-200,North America,Contacted
LD-0426,2024-06-03,Event,E-Commerce,11-50,North America,Contacted
LD-0427,2024-06-13,Organic Search,SaaS,1-10,North America,Qualified
LD-0428,2025-07-17,Event,E-Commerce,1-10,North America,New
LD-0429,2024-10-09,Organic Search,E-Commerce,11-50,EMEA,Disqualified
LD-0430,2025-10-27,Event,Manufacturing,1-10,North America,Qualified
LD-0431,2024-12-20,Partner,Manufacturing,11-50,North America,New
LD-0432,2025-07-15,Outbound SDR,E-Commerce,201-1000,North America,New
LD-0433,2024-06-28,Outbound SDR,E-Commerce,201-1000,North America,Disqualified
LD-0434,2025-10-19,Event,FinTech,11-50,APAC,Qualified
LD-0435,2025-06-13,Organic Search,E-Commerce,51-200,EMEA,Qualified
LD-0436,2024-06-01,Organic Search,Professional Services,51-200,North America,Qualified
LD-0437,2024-12-11,Organic Search,E-Commerce,201-1000,EMEA,Contacted
LD-0438,2024-07-14,Referral,E-Commerce,11-50,North America,Qualified
LD-0439,2024-07-03,Outbound SDR,FinTech,11-50,APAC,Disqualified
LD-0440,2025-10-23,Outbound SDR,Manufacturing,11-50,EMEA,New
LD-0441,2025-04-08,Event,Professional Services,1-10,EMEA,Qualified
LD-0442,2026-01-07,Organic Search,SaaS,11-50,APAC,Contacted
LD-0443,2024-12-05,Outbound SDR,SaaS,201-1000,APAC,Contacted
LD-0444,2025-11-06,Organic Search,HealthTech,201-1000,APAC,Contacted
LD-0445,2025-08-23,Paid Ads,HealthTech,1-10,North America,Disqualified
LD-0446,2025-09-27,Outbound SDR,HealthTech,11-50,North America,New
LD-0447,2026-01-25,Partner,SaaS,11-50,EMEA,Contacted
LD-0448,2025-10-29,Outbound SDR,FinTech,11-50,EMEA,Qualified
LD-0449,2025-11-26,Organic Search,E-Commerce,51-200,EMEA,New
LD-0450,2025-11-22,Outbound SDR,E-Commerce,1-10,APAC,Qualified
LD-0451,2025-04-22,Organic Search,E-Commerce,201-1000,North America,Disqualified
LD-0452,2025-11-11,Event,E-Commerce,1000+,North America,New
LD-0453,2026-02-04,Outbound SDR,E-Commerce,51-200,EMEA,New
LD-0454,2025-11-21,Organic Search,Manufacturing,51-200,North America,Disqualified
LD-0455,2025-08-18,Organic Search,E-Commerce,51-200,EMEA,New
LD-0456,2024-07-24,Organic Search,HealthTech,11-50,APAC,New
LD-0457,2025-04-15,Partner,E-Commerce,1-10,EMEA,Disqualified
LD-0458,2024-07-17,Paid Ads,SaaS,51-200,EMEA,Disqualified
LD-0459,2024-08-15,Outbound SDR,SaaS,1-10,EMEA,Qualified
LD-0460,2025-02-19,Outbound SDR,HealthTech,201-1000,EMEA,Contacted
LD-0461,2025-05-05,Referral,Professional Services,11-50,North America,Disqualified
LD-0462,2025-06-20,Organic Search,E-Commerce,11-50,EMEA,Qualified
LD-0463,2026-03-19,Partner,SaaS,11-50,EMEA,Qualified
LD-0464,2025-12-08,Paid Ads,E-Commerce,1000+,North America,Disqualified
LD-0465,2025-04-05,Referral,SaaS,1-10,EMEA,Qualified
LD-0466,2025-01-31,Outbound SDR,E-Commerce,1-10,APAC,Contacted
LD-0467,2025-11-02,Outbound SDR,Manufacturing,1-10,North America,Contacted
LD-0468,2024-12-18,Partner,E-Commerce,51-200,EMEA,Contacted
LD-0469,2026-03-07,Organic Search,E-Commerce,1000+,LATAM,Contacted
LD-0470,2025-12-22,Referral,FinTech,11-50,APAC,Contacted
LD-0471,2025-10-11,Paid Ads,HealthTech,201-1000,North America,Contacted
LD-0472,2024-11-29,Referral,Manufacturing,11-50,EMEA,Qualified
LD-0473,2025-08-28,Organic Search,E-Commerce,51-200,LATAM,Contacted
LD-0474,2026-01-20,Organic Search,HealthTech,1-10,EMEA,New
LD-0475,2024-07-23,Paid Ads,FinTech,11-50,North America,Contacted
LD-0476,2024-10-08,Paid Ads,SaaS,51-200,North America,New
LD-0477,2025-06-11,Paid Ads,SaaS,51-200,APAC,Qualified
LD-0478,2025-02-18,Outbound SDR,SaaS,11-50,North America,Contacted
LD-0479,2025-10-31,Outbound SDR,FinTech,201-1000,North America,Contacted
LD-0480,2025-03-20,Paid Ads,Professional Services,1000+,North America,Qualified
LD-0481,2026-05-28,Paid Ads,HealthTech,11-50,APAC,New
LD-0482,2025-01-05,Organic Search,SaaS,51-200,EMEA,New
LD-0483,2025-02-18,Referral,SaaS,201-1000,APAC,Qualified
LD-0484,2024-06-03,Paid Ads,FinTech,11-50,EMEA,Contacted
LD-0485,2024-11-28,Organic Search,Manufacturing,201-1000,LATAM,Qualified
LD-0486,2024-11-19,Paid Ads,FinTech,11-50,APAC,Qualified
LD-0487,2025-12-09,Referral,Manufacturing,51-200,North America,Disqualified
LD-0488,2025-02-02,Organic Search,Manufacturing,1-10,EMEA,New
LD-0489,2024-10-27,Referral,SaaS,11-50,North America,Qualified
LD-0490,2025-01-15,Referral,E-Commerce,51-200,LATAM,Qualified
LD-0491,2025-07-16,Outbound SDR,Professional Services,51-200,North America,New
LD-0492,2025-12-25,Outbound SDR,FinTech,201-1000,EMEA,Disqualified
LD-0493,2026-05-15,Outbound SDR,SaaS,1000+,APAC,Contacted
LD-0494,2024-07-05,Paid Ads,Professional Services,1-10,North America,Disqualified
LD-0495,2026-02-04,Outbound SDR,Professional Services,11-50,APAC,Qualified
LD-0496,2025-03-11,Referral,HealthTech,11-50,North America,Contacted
LD-0497,2026-01-11,Paid Ads,HealthTech,11-50,North America,New
LD-0498,2024-06-28,Outbound SDR,SaaS,11-50,EMEA,Disqualified
LD-0499,2025-08-31,Paid Ads,Manufacturing,201-1000,North America,Contacted
LD-0500,2026-04-10,Referral,HealthTech,51-200,EMEA,New
LD-0501,2024-06-29,Outbound SDR,SaaS,1-10,APAC,New
LD-0502,2025-12-29,Event,E-Commerce,11-50,North America,Qualified
LD-0503,2024-08-23,Partner,Professional Services,51-200,EMEA,New
LD-0504,2026-05-17,Referral,Manufacturing,11-50,APAC,Qualified
LD-0505,2025-11-25,Referral,SaaS,1-10,APAC,Qualified
LD-0506,2026-03-26,Outbound SDR,SaaS,11-50,North America,New
LD-0507,2026-03-17,Paid Ads,Professional Services,11-50,LATAM,Contacted
LD-0508,2025-01-17,Event,Professional Services,1-10,North America,New
LD-0509,2025-03-31,Referral,HealthTech,51-200,EMEA,Disqualified
LD-0510,2025-10-18,Organic Search,E-Commerce,11-50,EMEA,Disqualified
LD-0511,2024-10-06,Organic Search,HealthTech,51-200,APAC,Contacted
LD-0512,2025-01-10,Event,FinTech,11-50,North America,Contacted
LD-0513,2024-08-12,Organic Search,SaaS,201-1000,North America,Contacted
LD-0514,2026-03-10,Paid Ads,SaaS,1-10,APAC,Disqualified
LD-0515,2024-11-28,Paid Ads,SaaS,1-10,North America,Contacted
LD-0516,2025-03-27,Organic Search,Manufacturing,11-50,EMEA,Contacted
LD-0517,2025-04-26,Paid Ads,SaaS,11-50,EMEA,Disqualified
LD-0518,2025-03-02,Outbound SDR,SaaS,11-50,EMEA,New
LD-0519,2025-12-20,Organic Search,HealthTech,51-200,North America,Contacted
LD-0520,2026-03-29,Event,SaaS,11-50,North America,New
LD-0521,2025-07-23,Event,SaaS,1-10,LATAM,Qualified
LD-0522,2026-01-31,Paid Ads,HealthTech,11-50,North America,Contacted
LD-0523,2024-08-20,Organic Search,FinTech,51-200,North America,Disqualified
LD-0524,2026-05-06,Outbound SDR,E-Commerce,201-1000,North America,Contacted
LD-0525,2024-08-24,Organic Search,Professional Services,51-200,North America,New
LD-0526,2024-07-19,Paid Ads,SaaS,51-200,LATAM,Qualified
LD-0527,2024-06-17,Partner,Professional Services,51-200,North America,Qualified
LD-0528,2024-11-25,Partner,Professional Services,51-200,North America,Qualified
LD-0529,2026-02-01,Outbound SDR,Manufacturing,11-50,EMEA,Qualified
LD-0530,2025-01-06,Paid Ads,E-Commerce,51-200,North America,New
LD-0531,2025-12-29,Outbound SDR,E-Commerce,51-200,North America,Qualified
LD-0532,2025-04-06,Outbound SDR,E-Commerce,11-50,LATAM,New
LD-0533,2024-08-15,Paid Ads,E-Commerce,51-200,EMEA,New
LD-0534,2025-05-11,Outbound SDR,SaaS,11-50,North America,Disqualified
LD-0535,2024-11-17,Organic Search,Professional Services,11-50,North America,Qualified
LD-0536,2024-12-30,Organic Search,E-Commerce,1-10,North America,New
LD-0537,2025-06-13,Referral,Manufacturing,51-200,North America,New
LD-0538,2025-12-29,Organic Search,FinTech,201-1000,EMEA,Disqualified
LD-0539,2025-08-02,Organic Search,SaaS,1-10,EMEA,New
LD-0540,2024-11-10,Event,HealthTech,11-50,APAC,New
LD-0541,2025-11-06,Partner,HealthTech,1-10,APAC,New
LD-0542,2025-10-21,Referral,FinTech,1-10,North America,New
LD-0543,2024-11-20,Event,FinTech,1000+,LATAM,Contacted
LD-0544,2026-02-11,Partner,SaaS,11-50,EMEA,Disqualified
LD-0545,2026-02-05,Organic Search,HealthTech,11-50,North America,Contacted
LD-0546,2025-08-15,Paid Ads,FinTech,11-50,APAC,Contacted
LD-0547,2025-01-02,Paid Ads,Professional Services,1000+,North America,Qualified
LD-0548,2025-02-14,Organic Search,SaaS,11-50,EMEA,Contacted
LD-0549,2025-04-17,Outbound SDR,FinTech,51-200,EMEA,Qualified
LD-0550,2024-10-15,Paid Ads,FinTech,11-50,North America,Qualified
LD-0551,2025-01-10,Referral,HealthTech,1-10,APAC,Qualified
LD-0552,2024-09-06,Organic Search,HealthTech,51-200,North America,Qualified
LD-0553,2024-09-21,Organic Search,E-Commerce,1-10,APAC,Qualified
LD-0554,2025-11-25,Event,Professional Services,51-200,North America,Qualified
LD-0555,2024-09-02,Organic Search,FinTech,11-50,North America,Qualified
LD-0556,2025-05-08,Organic Search,E-Commerce,51-200,North America,New
LD-0557,2025-04-09,Paid Ads,SaaS,51-200,APAC,Qualified
LD-0558,2024-07-04,Referral,SaaS,51-200,North America,Qualified
LD-0559,2026-01-28,Referral,HealthTech,1-10,APAC,Contacted
LD-0560,2026-05-19,Referral,SaaS,51-200,North America,Disqualified
LD-0561,2025-09-09,Organic Search,E-Commerce,1000+,North America,Contacted
LD-0562,2025-10-03,Paid Ads,E-Commerce,11-50,North America,New
LD-0563,2024-11-17,Event,Manufacturing,11-50,North America,Disqualified
LD-0564,2026-02-06,Outbound SDR,HealthTech,201-1000,LATAM,New
LD-0565,2025-12-24,Outbound SDR,E-Commerce,1-10,North America,Contacted
LD-0566,2025-04-16,Outbound SDR,FinTech,51-200,EMEA,Contacted
LD-0567,2025-10-28,Outbound SDR,SaaS,51-200,EMEA,Disqualified
LD-0568,2026-04-28,Organic Search,SaaS,1-10,EMEA,Contacted
LD-0569,2025-08-14,Paid Ads,E-Commerce,51-200,EMEA,Qualified
LD-0570,2024-10-24,Referral,Professional Services,51-200,APAC,Qualified
LD-0571,2025-01-27,Paid Ads,SaaS,11-50,EMEA,Qualified
LD-0572,2024-10-13,Event,HealthTech,201-1000,EMEA,Disqualified
LD-0573,2025-01-28,Referral,Manufacturing,1-10,EMEA,Qualified
LD-0574,2026-03-12,Outbound SDR,Manufacturing,11-50,EMEA,Contacted
LD-0575,2024-10-17,Event,HealthTech,201-1000,North America,Disqualified
LD-0576,2026-03-13,Referral,E-Commerce,1-10,EMEA,Contacted
LD-0577,2024-12-25,Event,E-Commerce,201-1000,North America,New
LD-0578,2025-05-30,Referral,Manufacturing,1-10,APAC,New
LD-0579,2025-06-21,Event,SaaS,11-50,LATAM,Qualified
LD-0580,2024-08-31,Paid Ads,Professional Services,1-10,LATAM,New
LD-0581,2024-10-13,Referral,SaaS,51-200,APAC,Qualified
LD-0582,2025-01-09,Referral,Manufacturing,201-1000,EMEA,Contacted
LD-0583,2024-07-14,Organic Search,SaaS,201-1000,APAC,Contacted
LD-0584,2025-12-02,Paid Ads,SaaS,1000+,North America,New
LD-0585,2025-07-04,Event,SaaS,51-200,EMEA,Disqualified
LD-0586,2026-02-07,Outbound SDR,HealthTech,51-200,North America,Contacted
LD-0587,2026-02-20,Organic Search,FinTech,11-50,North America,New
LD-0588,2025-02-09,Paid Ads,SaaS,201-1000,LATAM,Contacted
LD-0589,2026-01-17,Organic Search,HealthTech,51-200,APAC,Contacted
LD-0590,2024-07-15,Organic Search,FinTech,201-1000,EMEA,Qualified
LD-0591,2025-04-10,Partner,Manufacturing,11-50,North America,Contacted
LD-0592,2025-09-29,Paid Ads,Professional Services,11-50,EMEA,New
LD-0593,2025-05-06,Paid Ads,E-Commerce,51-200,North America,Disqualified
LD-0594,2025-11-22,Referral,SaaS,1-10,APAC,Contacted
LD-0595,2026-02-16,Organic Search,FinTech,1-10,LATAM,New
LD-0596,2025-04-06,Paid Ads,Professional Services,1000+,North America,Qualified
LD-0597,2024-12-18,Outbound SDR,SaaS,11-50,North America,Qualified
LD-0598,2025-07-31,Outbound SDR,FinTech,1-10,North America,Qualified
LD-0599,2026-02-24,Partner,Professional Services,11-50,North America,Contacted
LD-0600,2026-05-21,Outbound SDR,Professional Services,11-50,North America,Contacted
LD-0601,2026-01-16,Referral,FinTech,51-200,North America,Contacted
LD-0602,2024-11-26,Outbound SDR,E-Commerce,201-1000,North America,New
LD-0603,2024-10-28,Event,HealthTech,1000+,North America,Contacted
LD-0604,2025-07-23,Outbound SDR,Manufacturing,51-200,North America,Disqualified
LD-0605,2025-03-21,Partner,SaaS,51-200,EMEA,Qualified
LD-0606,2025-08-20,Outbound SDR,SaaS,11-50,North America,Contacted
LD-0607,2026-04-05,Event,E-Commerce,201-1000,APAC,New
LD-0608,2025-07-06,Organic Search,SaaS,1-10,North America,Qualified
LD-0609,2025-02-15,Outbound SDR,E-Commerce,1-10,North America,New
LD-0610,2026-02-24,Paid Ads,FinTech,1000+,North America,New
LD-0611,2025-04-17,Referral,Professional Services,201-1000,EMEA,New
LD-0612,2025-08-16,Outbound SDR,Manufacturing,11-50,North America,Qualified
LD-0613,2024-09-07,Partner,HealthTech,51-200,EMEA,Qualified
LD-0614,2025-06-06,Partner,Manufacturing,11-50,North America,New
LD-0615,2025-04-07,Paid Ads,SaaS,11-50,LATAM,New
LD-0616,2024-08-29,Outbound SDR,HealthTech,11-50,North America,Qualified
LD-0617,2024-11-02,Outbound SDR,SaaS,1-10,North America,Contacted
LD-0618,2025-10-26,Paid Ads,Manufacturing,51-200,APAC,Qualified
LD-0619,2024-10-10,Organic Search,Manufacturing,11-50,North America,New
LD-0620,2024-09-05,Organic Search,Professional Services,11-50,North America,Qualified
LD-0621,2024-07-12,Outbound SDR,Professional Services,1-10,APAC,Disqualified
LD-0622,2024-06-20,Referral,Professional Services,1000+,North America,Qualified
LD-0623,2025-04-13,Partner,SaaS,51-200,North America,New
LD-0624,2025-05-23,Referral,Professional Services,201-1000,North America,Qualified
LD-0625,2025-08-30,Partner,HealthTech,1-10,North America,Contacted
LD-0626,2025-07-23,Paid Ads,FinTech,51-200,APAC,New
LD-0627,2025-06-27,Outbound SDR,HealthTech,201-1000,EMEA,Contacted
LD-0628,2026-05-30,Organic Search,FinTech,11-50,EMEA,Disqualified
LD-0629,2024-11-30,Referral,FinTech,1-10,North America,Contacted
LD-0630,2025-11-02,Event,SaaS,11-50,EMEA,Disqualified
LD-0631,2024-07-29,Partner,SaaS,11-50,EMEA,Contacted
LD-0632,2026-02-09,Event,HealthTech,11-50,North America,Contacted
LD-0633,2025-02-20,Organic Search,Professional Services,11-50,APAC,New
LD-0634,2025-02-08,Paid Ads,E-Commerce,11-50,EMEA,Qualified
LD-0635,2024-09-07,Organic Search,HealthTech,51-200,APAC,New
LD-0636,2025-06-06,Organic Search,FinTech,1-10,North America,Contacted
LD-0637,2025-03-19,Outbound SDR,HealthTech,11-50,North America,New
LD-0638,2026-05-12,Outbound SDR,SaaS,51-200,EMEA,Contacted
LD-0639,2024-10-08,Outbound SDR,Manufacturing,1-10,APAC,Contacted
LD-0640,2025-04-01,Event,SaaS,11-50,North America,New
LD-0641,2026-03-19,Outbound SDR,E-Commerce,1-10,North America,Contacted
LD-0642,2026-01-10,Event,Manufacturing,1-10,APAC,Disqualified
LD-0643,2025-12-10,Organic Search,HealthTech,11-50,North America,New
LD-0644,2025-06-19,Organic Search,Manufacturing,1-10,North America,Contacted
LD-0645,2026-02-27,Outbound SDR,FinTech,11-50,EMEA,Contacted
LD-0646,2024-11-11,Event,Professional Services,1000+,North America,Contacted
LD-0647,2026-01-12,Organic Search,E-Commerce,201-1000,North America,Qualified
LD-0648,2025-07-29,Referral,Manufacturing,1-10,North America,New
LD-0649,2025-02-11,Outbound SDR,E-Commerce,11-50,APAC,Contacted
LD-0650,2024-11-06,Organic Search,Manufacturing,11-50,North America,Qualified
LD-0651,2025-06-16,Paid Ads,Professional Services,201-1000,EMEA,Contacted
LD-0652,2024-06-03,Event,FinTech,201-1000,LATAM,Disqualified
LD-0653,2025-11-04,Outbound SDR,Manufacturing,1-10,EMEA,Disqualified
LD-0654,2024-11-19,Organic Search,Manufacturing,1-10,EMEA,New
LD-0655,2025-03-11,Event,HealthTech,11-50,EMEA,Contacted
LD-0656,2024-10-19,Paid Ads,Professional Services,201-1000,North America,New
LD-0657,2025-05-06,Event,FinTech,201-1000,EMEA,New
LD-0658,2025-02-26,Paid Ads,HealthTech,1-10,LATAM,Contacted
LD-0659,2024-10-15,Referral,SaaS,51-200,APAC,Contacted
LD-0660,2026-03-10,Paid Ads,SaaS,1-10,North America,Contacted
LD-0661,2025-12-06,Paid Ads,Manufacturing,51-200,North America,New
LD-0662,2025-03-10,Event,FinTech,201-1000,APAC,New
LD-0663,2024-07-13,Organic Search,FinTech,11-50,North America,Disqualified
LD-0664,2026-02-07,Organic Search,SaaS,1-10,APAC,Disqualified
LD-0665,2025-10-22,Paid Ads,HealthTech,51-200,North America,New
LD-0666,2025-07-11,Outbound SDR,Manufacturing,11-50,EMEA,Qualified
LD-0667,2025-08-15,Event,Professional Services,201-1000,APAC,Contacted
LD-0668,2024-06-06,Partner,SaaS,11-50,EMEA,Qualified
LD-0669,2025-05-12,Paid Ads,HealthTech,201-1000,North America,Qualified
LD-0670,2024-10-16,Paid Ads,HealthTech,11-50,APAC,Disqualified
LD-0671,2025-09-18,Organic Search,E-Commerce,1-10,North America,New
LD-0672,2026-04-10,Referral,HealthTech,11-50,North America,Contacted
LD-0673,2025-06-22,Partner,FinTech,1-10,EMEA,Disqualified
LD-0674,2025-08-15,Outbound SDR,HealthTech,11-50,North America,New
LD-0675,2025-09-30,Referral,E-Commerce,51-200,EMEA,New
LD-0676,2026-04-09,Paid Ads,HealthTech,1-10,North America,Qualified
LD-0677,2024-06-28,Event,HealthTech,1-10,North America,Qualified
LD-0678,2025-01-13,Referral,Manufacturing,1-10,APAC,Qualified
LD-0679,2024-12-13,Organic Search,Manufacturing,1-10,North America,Qualified
LD-0680,2025-11-05,Paid Ads,FinTech,201-1000,North America,Qualified
LD-0681,2025-04-23,Organic Search,Manufacturing,1000+,EMEA,New
LD-0682,2025-12-15,Organic Search,Manufacturing,1-10,APAC,Qualified
LD-0683,2025-05-11,Organic Search,SaaS,51-200,EMEA,Qualified
LD-0684,2026-05-13,Paid Ads,E-Commerce,51-200,APAC,Disqualified
LD-0685,2025-12-12,Outbound SDR,FinTech,1000+,North America,New
LD-0686,2024-06-14,Paid Ads,E-Commerce,11-50,North America,New
LD-0687,2026-05-22,Paid Ads,SaaS,11-50,LATAM,Qualified
LD-0688,2026-04-26,Partner,E-Commerce,11-50,APAC,New
LD-0689,2024-07-02,Outbound SDR,SaaS,201-1000,EMEA,New
LD-0690,2025-03-13,Referral,HealthTech,51-200,EMEA,Qualified
LD-0691,2026-05-09,Paid Ads,Professional Services,11-50,North America,Contacted
LD-0692,2026-02-01,Event,FinTech,11-50,North America,Contacted
LD-0693,2025-05-08,Organic Search,Professional Services,51-200,APAC,New
LD-0694,2025-07-03,Paid Ads,Professional Services,201-1000,APAC,New
LD-0695,2024-06-22,Event,Professional Services,11-50,North America,Qualified
LD-0696,2025-07-17,Referral,SaaS,51-200,North America,Contacted
LD-0697,2025-09-29,Outbound SDR,Manufacturing,11-50,North America,New
LD-0698,2025-02-17,Referral,SaaS,11-50,North America,Contacted
LD-0699,2025-01-10,Outbound SDR,FinTech,51-200,EMEA,New
LD-0700,2026-01-25,Paid Ads,Professional Services,51-200,EMEA,New
LD-0701,2025-04-24,Paid Ads,E-Commerce,1000+,North America,New
LD-0702,2024-12-10,Paid Ads,HealthTech,11-50,EMEA,Contacted
LD-0703,2025-03-01,Organic Search,FinTech,11-50,LATAM,New
LD-0704,2025-05-25,Event,Manufacturing,11-50,North America,Contacted
LD-0705,2024-12-07,Paid Ads,E-Commerce,1-10,North America,Contacted
LD-0706,2025-07-14,Referral,HealthTech,11-50,EMEA,Contacted
LD-0707,2026-02-18,Outbound SDR,Professional Services,1-10,North America,New
LD-0708,2025-11-24,Outbound SDR,SaaS,11-50,EMEA,New
LD-0709,2024-11-16,Paid Ads,SaaS,1-10,EMEA,New
LD-0710,2025-05-10,Referral,E-Commerce,11-50,North America,Contacted
LD-0711,2025-07-02,Partner,Professional Services,201-1000,North America,Qualified
LD-0712,2025-10-09,Outbound SDR,SaaS,11-50,APAC,New
LD-0713,2025-12-04,Event,SaaS,51-200,North America,Qualified
LD-0714,2025-05-20,Event,SaaS,201-1000,EMEA,Qualified
LD-0715,2025-01-16,Outbound SDR,Manufacturing,51-200,EMEA,New
LD-0716,2025-09-24,Organic Search,SaaS,1-10,APAC,New
LD-0717,2024-08-31,Referral,HealthTech,11-50,EMEA,New
LD-0718,2025-10-05,Organic Search,Professional Services,51-200,APAC,New
LD-0719,2026-03-16,Outbound SDR,SaaS,11-50,EMEA,Contacted
LD-0720,2025-10-31,Partner,HealthTech,1-10,North America,New
LD-0721,2025-04-13,Referral,HealthTech,11-50,North America,Qualified
LD-0722,2026-01-22,Paid Ads,Manufacturing,51-200,North America,Contacted
LD-0723,2025-06-23,Organic Search,FinTech,11-50,North America,Qualified
LD-0724,2025-06-30,Partner,FinTech,51-200,North America,Qualified
LD-0725,2026-02-12,Organic Search,SaaS,1-10,North America,Contacted
LD-0726,2024-10-19,Organic Search,Manufacturing,11-50,North America,Disqualified
LD-0727,2025-12-21,Paid Ads,Manufacturing,201-1000,North America,Disqualified
LD-0728,2025-10-09,Organic Search,SaaS,11-50,North America,Contacted
LD-0729,2025-06-21,Paid Ads,FinTech,51-200,APAC,New
LD-0730,2024-07-27,Referral,Professional Services,11-50,EMEA,Contacted
LD-0731,2025-12-11,Paid Ads,SaaS,11-50,APAC,New
LD-0732,2024-11-07,Organic Search,FinTech,201-1000,EMEA,Contacted
LD-0733,2026-03-15,Organic Search,HealthTech,11-50,APAC,Contacted
LD-0734,2025-12-30,Paid Ads,FinTech,11-50,APAC,Contacted
LD-0735,2025-02-21,Organic Search,SaaS,201-1000,North America,Qualified
LD-0736,2025-04-14,Outbound SDR,HealthTech,51-200,LATAM,New
LD-0737,2024-06-19,Organic Search,SaaS,51-200,North America,Contacted
LD-0738,2025-05-30,Paid Ads,HealthTech,1-10,EMEA,Contacted
LD-0739,2024-07-13,Paid Ads,E-Commerce,1-10,APAC,Qualified
LD-0740,2026-05-21,Paid Ads,HealthTech,51-200,North America,Qualified
LD-0741,2025-09-10,Organic Search,SaaS,1-10,EMEA,New
LD-0742,2024-11-19,Organic Search,Manufacturing,11-50,North America,Qualified
LD-0743,2026-01-07,Event,SaaS,51-200,North America,New
LD-0744,2024-06-15,Organic Search,Manufacturing,11-50,North America,Qualified
LD-0745,2025-07-06,Referral,FinTech,1-10,North America,Contacted
LD-0746,2024-08-21,Referral,Manufacturing,1-10,North America,Contacted
LD-0747,2024-07-10,Paid Ads,SaaS,11-50,EMEA,Qualified
LD-0748,2024-11-26,Paid Ads,SaaS,51-200,EMEA,Disqualified
LD-0749,2025-01-01,Outbound SDR,HealthTech,201-1000,North America,Qualified
LD-0750,2025-11-12,Event,SaaS,1-10,EMEA,Contacted
LD-0751,2026-03-12,Paid Ads,SaaS,1-10,North America,Qualified
LD-0752,2025-12-18,Paid Ads,E-Commerce,51-200,North America,Contacted
LD-0753,2025-11-22,Paid Ads,Manufacturing,11-50,APAC,Qualified
